department_a,department_b,cross_dept_works,rush_led_cross_dept_works
Otorhinolaryngology - Head & Neck Surgery,Surgery,5,3
Anatomy & Cell Biology,Pathology,4,4
Anatomy & Cell Biology,Pediatrics,4,4
Anesthesiology,Internal Medicine,4,4
Family & Preventive Medicine,Orthopedic Surgery,4,2
Obstetrics & Gynecology,Pediatrics,4,3
Anatomy & Cell Biology,College of Health Sciences,3,2
Anatomy & Cell Biology,Physiology & Biophysics,3,3
Anesthesiology,College of Health Sciences,3,3
Anesthesiology,Psychiatry & Behavioral Sciences,3,0
Cardiovascular & Thoracic Surgery,Surgery,3,1
College of Health Sciences,Surgery,3,3
College of Nursing,Pathology,3,2
Diagnostic Radiology & Nuclear Medicine,Neurological Surgery,3,2
Emergency Medicine,Surgery,3,3
Internal Medicine,Neurological Surgery,3,2
Internal Medicine,Urology,3,3
Pathology,Radiation Oncology,3,3
Surgery,Urology,3,2
Anesthesiology,Neurological Sciences,2,2
Anesthesiology,Pediatrics,2,2
Anesthesiology,Surgery,2,2
Cardiovascular & Thoracic Surgery,Family & Preventive Medicine,2,0
Cardiovascular & Thoracic Surgery,Radiation Oncology,2,2
College of Health Sciences,Emergency Medicine,2,1
College of Health Sciences,Pathology,2,2
College of Health Sciences,Physical Medicine & Rehabilitation,2,1
College of Nursing,Diagnostic Radiology & Nuclear Medicine,2,2
College of Nursing,Microbial Pathogens & Immunity,2,2
Dermatology,Pathology,2,0
Emergency Medicine,Neurological Sciences,2,1
Emergency Medicine,Orthopedic Surgery,2,2
Emergency Medicine,Pediatrics,2,2
Emergency Medicine,Psychiatry & Behavioral Sciences,2,1
Microbial Pathogens & Immunity,Neurological Sciences,2,2
Microbial Pathogens & Immunity,Orthopedic Surgery,2,2
Microbial Pathogens & Immunity,Pathology,2,2
Microbial Pathogens & Immunity,Surgery,2,2
Neurological Sciences,Ophthalmology,2,1
Neurological Sciences,Otorhinolaryngology - Head & Neck Surgery,2,2
Neurological Surgery,Ophthalmology,2,1
Orthopedic Surgery,Otorhinolaryngology - Head & Neck Surgery,2,0
Otorhinolaryngology - Head & Neck Surgery,Pediatrics,2,2
Anatomy & Cell Biology,Physical Medicine & Rehabilitation,1,1
Anesthesiology,Cardiovascular & Thoracic Surgery,1,1
Anesthesiology,Family & Preventive Medicine,1,1
Anesthesiology,Otorhinolaryngology - Head & Neck Surgery,1,0
Behavioral Sciences,College of Health Sciences,1,1
Cardiovascular & Thoracic Surgery,College of Health Sciences,1,1
Cardiovascular & Thoracic Surgery,Orthopedic Surgery,1,1
Cardiovascular & Thoracic Surgery,Otorhinolaryngology - Head & Neck Surgery,1,1
Cardiovascular & Thoracic Surgery,Pathology,1,1
College of Health Sciences,Otorhinolaryngology - Head & Neck Surgery,1,1
College of Nursing,Orthopedic Surgery,1,1
College of Nursing,Physical Medicine & Rehabilitation,1,0
Dermatology,Emergency Medicine,1,0
Dermatology,Surgery,1,1
Diagnostic Radiology & Nuclear Medicine,Microbial Pathogens & Immunity,1,1
