rank,name,csv_h_index,openalex_h_index,h_index_status,csv_dept,rush_directory_dept,dept_status,directory_match_type,directory_match_score,rush_directory_name,rush_directory_title,rush_directory_college,evidence_url,openalex_id
41,Robert A. Balk,59,59,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Robert A. Balk, MD",Professor Emeritus,Rush Medical College,https://www.rushu.rush.edu/faculty/robert-balk-md,https://openalex.org/A5077828570
42,Charmane I. Eastman,59,59,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"Charmane I. Eastman, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/charmane-i-eastman-phd,https://openalex.org/A5006266436
43,Mary K. Hayden,59,59,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Mary K. Hayden, MD",The James R. Lowenstine Professor of Internal Medicine,Rush Medical College,https://www.rushu.rush.edu/faculty/mary-k-hayden-md,https://openalex.org/A5056420672
44,Frank M. Phillips,59,59,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Frank M. Phillips, MD","The Ronald L. DeWald, MD, Endowed Professor of Spinal Deformities",Rush Medical College,https://www.rushu.rush.edu/faculty/frank-m-phillips-md,https://openalex.org/A5036387958
45,Scott M. Sporer,59,59,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Scott M. Sporer, MD, MS",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/scott-m-sporer-md-ms,https://openalex.org/A5029432162
46,Charles A. Bush-Joseph,59,59,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Charles A. Bush-Joseph, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/charles-bush-joseph-md,https://openalex.org/A5010800815
47,Konstantinos Arfanakis,57,57,match,Diagnostic Radiology & Nuclear Medicine,Diagnostic Radiology & Nuclear Medicine,match,exact_name,1.000,"Konstantinos Arfanakis, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/konstantinos-arfanakis-phd,https://openalex.org/A5053836176
48,Ithaar Derweesh,57,57,match,Urology,Urology,match,exact_name,1.000,"Ithaar Derweesh, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/ithaar-derweesh-md,https://openalex.org/A5091807397
49,Katalin Mikecz,57,57,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Katalin Mikecz, MD, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/katalin-mikecz-md-phd,https://openalex.org/A5105829628
50,Robert S. Wilson,57,57,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Robert S. Wilson, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/robert-s-wilson-phd,https://openalex.org/A5101486622
51,Joel A. Block,55,55,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Joel A. Block, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/joel-block-md,https://openalex.org/A5089546365
