appl_id,subproject_id,faculty_name,rush_dept,pi_full_name,pi_match_type,is_contact_pi,fiscal_year,project_num,core_project_num,activity_code,agency,award_amount,is_active,project_title,organization,project_start_date,project_end_date
11258036,,Bryan D. James,Internal Medicine,Bryan David James,exact_first_last,true,2026,5R01AG072559-05,R01AG072559,R01,NIA,575478,true,Predictors and consequences of the timing and accuracy of clinical dementia diagnosis,RUSH UNIVERSITY MEDICAL CENTER,2022-02-15T00:00:00,2027-01-31T00:00:00
11235866,,Sumant S. Chugh,Internal Medicine,Sumant Singh Chugh,exact_first_last,true,2026,5R01DK137919-03,R01DK137919,R01,NIDDK,652764,true,Recombinant hANGPTL4 and CKD,RUSH UNIVERSITY MEDICAL CENTER,2023-12-01T00:00:00,2027-11-30T00:00:00
11235866,,Lionel C. Clement,Internal Medicine,Lionel Claudius Clement,exact_first_last,false,2026,5R01DK137919-03,R01DK137919,R01,NIDDK,652764,true,Recombinant hANGPTL4 and CKD,RUSH UNIVERSITY MEDICAL CENTER,2023-12-01T00:00:00,2027-11-30T00:00:00
11042147,,Mayra Estrella,Internal Medicine,Mayra Lorell Estrella,exact_first_last,true,2026,5K01AG075353-06,K01AG075353,K01,NIA,111186,true,Protective Factors of Cognitive Aging among Latinos in the 50 States and Puerto Rico,RUSH UNIVERSITY MEDICAL CENTER,2024-09-15T00:00:00,2027-01-31T00:00:00
11101362,,Aron Buchman,Neurological Sciences,ARON S BUCHMAN,exact_first_last,true,2025,5R01AG079133-04,R01AG079133,R01,NIA,738585,true,Thinking about walking: Can digital phenotyping of mobility improve the prediction of Alzheimer's dementia and inform on the pathologies and proteins contributing to this association?,RUSH UNIVERSITY MEDICAL CENTER,2022-09-01T00:00:00,2027-05-31T00:00:00
11160582,,,,XIU-TI  HU,unmatched,true,2025,5R01DA057197-04,R01DA057197,R01,NIDA,759014,true,"cART, neuroHIV, cocaine abuse and the mPFC neuron/astrocyte dysfunction",RUSH UNIVERSITY MEDICAL CENTER,2022-09-15T00:00:00,2027-08-31T00:00:00
11194507,,Rajeev K. Garg,Neurological Sciences,Rajeev Kumar Garg,exact_first_last,true,2025,5R01NS135614-02,R01NS135614,R01,NINDS,471109,true,Silent Brain Infarcts in Spontaneous Intracerebral Hemorrhage as a Prognostic Biomarker for Vascular contributions to Cognitive Impairment and Dementia (VCID),RUSH UNIVERSITY MEDICAL CENTER,2024-09-17T00:00:00,2029-08-31T00:00:00
11227870,,,,RICHARD J MILLER,unmatched,false,2025,2R01AR064251-11,R01AR064251,R01,NIAMS,1963454,true,Osteoarthritis Progression And Sensory Pathway Alterations,RUSH UNIVERSITY MEDICAL CENTER,2013-05-01T00:00:00,2029-07-31T00:00:00
11227870,,,,Anne-Marie  Malfait,unmatched,true,2025,2R01AR064251-11,R01AR064251,R01,NIAMS,1963454,true,Osteoarthritis Progression And Sensory Pathway Alterations,RUSH UNIVERSITY MEDICAL CENTER,2013-05-01T00:00:00,2029-07-31T00:00:00
11199000,,Francine Grodstein,Internal Medicine,FRANCINE  GRODSTEIN,exact_first_last,true,2025,5U01AG084547-02,U01AG084547,U01,NIA,1940803,true,Mexican Teachers Cohort Study: Genetics and Cognitive Function,RUSH UNIVERSITY MEDICAL CENTER,2024-09-30T00:00:00,2029-08-31T00:00:00
11199000,,,,Martin  Lajous,unmatched,false,2025,5U01AG084547-02,U01AG084547,U01,NIA,1940803,true,Mexican Teachers Cohort Study: Genetics and Cognitive Function,RUSH UNIVERSITY MEDICAL CENTER,2024-09-30T00:00:00,2029-08-31T00:00:00
11166568,,Jori Fleisher,Neurological Sciences,Jori Erin Fleisher,exact_first_last,true,2025,5R01AG079128-03,R01AG079128,R01,NIA,748170,true,"PERSEVERE in Lewy Body Dementia: A Randomized, Controlled Trial of Peer Mentor Support and Caregiver Education",RUSH UNIVERSITY MEDICAL CENTER,2023-08-15T00:00:00,2028-06-30T00:00:00
